frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,y_mm_abs_2,angle_deg_raw,angle_deg_raw2,angle_deg,mm_per_px,x_mm,y_mm,y_mm_origin,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
522,4.3323284,119.409445,265.2477568,26.95307801,-59.87167496,59.87167496,0.147620678,-0.147620678,7.352379322,0.225719816,-0.000899446,0.007017563,-0.007017563,7.352379322,0.017794177,-0.000359566,0.017797809,1.30E-08
523,4.3354556,119.4092746,265.2476539,26.95303955,-59.87165174,59.87165174,0.147620678,-0.147620678,7.352379322,0.225719816,-0.00093791,0.006994344,-0.006994344,7.352379322,0.152130432,-0.016175162,0.152987921,1.57E-09
524,4.3483287,119.4089688,265.2475138,26.95297052,-59.8716201,59.8716201,0.147620678,-0.147620678,7.352379322,0.225719816,-0.001006939,0.006962707,-0.006962707,7.352379322,0.145828421,-0.015139617,0.146612197,6.82E-10
525,4.3515117,119.4192493,265.2487376,26.95529102,-59.87189634,59.87189634,0.147620678,-0.147620678,7.352379322,0.225719816,0.001313562,0.007238946,-0.007238946,7.352379322,0.124686581,-0.011055928,0.125175784,5.62E-11
526,4.3642977,119.4201142,265.2487231,26.95548625,-59.87189307,59.87189307,0.147620678,-0.147620678,7.352379322,0.225719816,0.001508797,0.007235677,-0.007235677,7.352379322,0.120264068,-0.01122793,0.120787054,2.68E-11
527,4.3674791,119.4186596,265.2484219,26.95515792,-59.87182509,59.87182509,0.147620678,-0.147620678,7.352379322,0.225719816,0.001180464,0.007167697,-0.007167697,7.352379322,-0.133339414,0.022667251,0.13525237,2.23E-12
528,4.3802983,119.4167052,265.2480491,26.95471678,-59.87174094,59.87174094,0.147620678,-0.147620678,7.352379322,0.225719816,0.000739322,0.00708354,-0.00708354,7.352379322,-0.292265534,0.042105866,0.295282993,1.12E-12
529,4.3834856,119.3987243,265.2456213,26.95065814,-59.87119293,59.87119293,0.147620678,-0.147620678,7.352379322,0.225719816,-0.003319321,0.006535537,-0.006535537,7.352379322,-0.295971935,0.042430054,0.298997819,1.15E-13
530,4.3966492,119.3948986,265.2450143,26.94979459,-59.87105593,59.87105593,0.147620678,-0.147620678,7.352379322,0.225719816,-0.004182867,0.006398536,-0.006398536,7.352379322,-0.264833545,0.038295341,0.267588004,1.54E-13
531,4.4121474,119.3946746,265.2448855,26.94974403,-59.87102685,59.87102685,0.147620678,-0.147620678,7.352379322,0.225719816,-0.004233431,0.006369452,-0.006369452,7.352379322,-0.291089516,0.041512204,0.29403464,6.07E-14
532,4.4151793,119.3953796,265.2448762,26.94990316,-59.87102474,59.87102474,0.147620678,-0.147620678,7.352379322,0.225719816,-0.004074292,0.006367348,-0.006367348,7.352379322,-0.040987646,0.008576872,0.041875409,0.31802816
533,4.4284324,119.385651,265.2435463,26.94770723,-59.87072457,59.87072457,0.147620678,-0.147620678,7.352379322,0.225719816,-0.006270231,0.006067175,-0.006067175,7.365023899,-0.020192886,0.01701525,0.026405897,0.579674383
534,4.4316542,119.3853246,265.2434427,26.94763354,-59.87070119,59.87070119,0.147620678,-0.147620678,7.352379322,0.225719816,-0.006343915,0.006043795,-0.006043795,7.367552814,0.013051811,0.018353521,0.022521135,0.592864882
535,4.4444357,119.3874974,265.2404643,26.948124,-59.87002889,59.87002889,0.084397793,-0.084397793,7.415602207,0.225719816,-0.005853453,0.005371495,-0.005371495,7.368058598,-0.045760336,0.023502162,0.051442784,0.284943692
536,4.4477719,119.3899061,265.2403376,26.94866767,-59.87000031,59.87000031,0.134976101,-0.134976101,7.365023899,0.225719816,-0.005309783,0.005342911,-0.005342911,7.368159754,-0.078448,0.022000971,0.081474729,0.023825274
537,4.4605489,119.3762317,265.2388411,26.9455811,-59.86966252,59.86966252,0.145091763,-0.145091763,7.354908237,0.225719816,-0.008396356,0.00500512,-0.00500512,7.368179986,-0.063886214,0.017621258,0.066271842,-1.183129463
538,4.4640785,119.3710851,265.2386043,26.9444194,-59.86960907,59.86960907,0.147114895,-0.147114895,7.352885105,0.225719816,-0.009558056,0.004951671,-0.004951671,7.355539455,-0.014031476,-0.00590664,0.015224018,-1.260676335
539,4.4765741,119.3738496,265.2394149,26.94504341,-59.86979203,59.86979203,0.147519521,-0.147519521,7.352480479,0.225719816,-0.008934043,0.005134628,-0.005134628,7.353011349,-0.030412553,-0.011064881,0.032362865,2.399650397
540,4.4800575,119.3782887,265.2404186,26.9460454,-59.87001859,59.87001859,0.147600447,-0.147600447,7.352399553,0.225719816,-0.007932055,0.005361189,-0.005361189,7.391268011,0.081016256,0.096943533,0.126339552,3.796033456
541,4.4926449,119.3828088,265.2413791,26.94706568,-59.87023538,59.87023538,0.147616632,-0.147616632,7.352383368,0.225719816,-0.006911777,0.005577985,-0.005577985,7.398919343,0.1606801,0.095394268,0.186864017,4.007806804
542,4.496179,119.3877497,265.2325097,26.94818094,-59.86823339,59.86823339,-0.046191548,0.046191548,7.546191548,0.225719816,-0.005796516,0.00357599,-0.00357599,7.40044961,0.188967921,0.174463833,0.257189627,0.355122707
543,4.5086652,119.391577,265.2321005,26.94904484,-59.86814103,59.86814103,0.108858233,-0.108858233,7.391141767,0.225719816,-0.004932615,0.00348363,-0.00348363,7.400755663,0.143238191,0.184872795,0.233869899,0.156286665
544,4.514059,119.3961502,265.2230032,26.9500771,-59.86608757,59.86608757,0.139868189,-0.139868189,7.360131811,0.225719816,-0.003900362,0.001430178,-0.001430178,7.400816874,0.154832492,0.151216509,0.216424428,-1.163840362
545,4.5250445,119.3990215,265.2236356,26.95072522,-59.86623033,59.86623033,0.14607018,-0.14607018,7.35392982,0.225719816,-0.003252242,0.001572937,-0.001572937,7.362066832,0.097854208,0.026198578,0.101300599,-1.914626171
546,4.5285232,119.4011641,265.2264945,26.95120885,-59.86687565,59.86687565,0.147310578,-0.147310578,7.352689422,0.225719816,-0.002768609,0.002218252,-0.002218252,7.354316824,0.240023758,-0.032802213,0.242254803,-2.941229387
547,4.5408838,119.4028442,265.2297041,26.95158807,-59.86760011,59.86760011,0.147558658,-0.147558658,7.352441342,0.225719816,-0.002389384,0.002942709,-0.002942709,7.316388801,0.207402607,-0.14970011,0.255784996,-2.49456146
548,4.5443517,119.4148285,265.2341228,26.95429316,-59.8685975,59.8685975,0.147608274,-0.147608274,7.352391726,0.225719816,0.000315703,0.003940102,-0.003940102,7.308803197,0.333355499,-0.210770198,0.394398232,-1.789778022
549,4.5577189,119.4165028,265.2461909,26.95467108,-59.87132151,59.87132151,0.329508303,-0.329508303,7.170491697,0.225719816,0.00069362,0.006664115,-0.006664115,7.307286076,0.307019144,-0.178281269,0.35502812,-0.796803369
550,4.5611077,119.4268434,265.2509703,26.95700515,-59.87240032,59.87240032,0.183998203,-0.183998203,7.316001797,0.225719816,0.003027698,0.007742925,-0.007742925,7.306982652,0.274433041,-0.168951931,0.32227046,-0.06937476
551,4.5730274,119.4272312,265.2521881,26.95709271,-59.87267519,59.87267519,0.154896183,-0.154896183,7.345103817,0.225719816,0.003115251,0.008017794,-0.008017794,7.306921967,0.108697877,-0.110768465,0.155193045,3.350040405
552,4.5766121,119.4251309,265.2523781,26.95661863,-59.87271808,59.87271808,0.149075779,-0.149075779,7.350924221,0.225719816,0.002641173,0.008060679,-0.008060679,7.343287851,0.069943763,-0.065514103,0.095834376,3.575909143
553,4.58898,119.4224658,265.2521967,26.95601706,-59.87267713,59.87267713,0.147911698,-0.147911698,7.352088302,0.225719816,0.002039602,0.008019738,-0.008019738,7.350561028,-0.076505617,-0.000290958,0.07650617,3.709675279
554,4.5926514,119.4197739,265.2518309,26.95540945,-59.87259457,59.87259457,0.147678882,-0.147678882,7.352321118,0.225719816,0.001431991,0.007937174,-0.007937174,7.352015663,-0.109267309,0.011276253,0.109847615,0.335386246
555,4.6059463,119.4172127,265.2513733,26.95483132,-59.87249127,59.87249127,0.147632319,-0.147632319,7.352367681,0.225719816,0.000853867,0.007833872,-0.007833872,7.35230659,-0.091048332,0.015751503,0.092400804,3.92667426
