frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
67,2.2191384180790963,237.052490234375,281.6526794433594,8.0,0.14285714285714285,236.9755126953125,280.8601135253906,0,3.77738124302455,-10.9345447358631,6.4,0.28243039724049573,-9.426659769551444,9.430889742763675,4.830703624733526,0
68,2.25225988700565,237.30325317382812,278.4126892089844,6.0,0.14285714285714285,236.99236755371095,278.21393432617185,0,3.7797890799386167,-11.312570335751495,6.4,0.11028435132216649,-10.752335956537472,10.752901522863265,-4.830703624733395,0
69,2.2853813559322034,237.06021118164062,274.8855895996094,4.0,0.14285714285714285,236.99635620117186,275.28154907226565,0,3.7803588867187443,-11.731482514880952,6.0,-0.08686014780214886,-11.839673900110416,11.839992514618917,-14.492110874200382,0
70,2.3185028248587574,236.87608337402344,272.0806579589844,6.0,0.14285714285714285,236.93122253417968,272.26771850585936,0,3.7710540771484347,-12.162029738653281,5.2,0.07003831587437957,-12.254364963686054,12.254565109742035,-12.076759061833672,0
71,2.351624293785311,236.6897430419922,269.3761291503906,6.0,0.14285714285714285,236.86031494140624,269.34385986328124,0,3.7609244210379416,-12.579723830450156,4.4,0.43394271567065934,-12.204694490319426,12.21240655573327,-12.076759061833672,0
72,2.3847457627118644,236.72682189941406,266.5835266113281,4.0,0.14285714285714285,237.05670471191405,266.6542236328125,0,3.788980102539057,-12.963957577659976,4.4,1.0154305352621673,-11.851630826654361,11.895051593971619,-9.661407249466922,0
73,2.417867231638418,236.94871520996094,263.79339599609375,2.0,0.14285714285714285,237.49541625976562,264.065625,0,3.8516531808035666,-13.333757382347471,4.4,1.80278967288876,-11.345933389097217,11.48826597335322,0.0,0
74,2.450988700564972,238.0421600341797,261.4374084472656,4.0,0.14285714285714285,238.17349548339843,261.542529296875,0,3.948521641322543,-13.694199625651045,4.4,2.561491148173393,-10.854780649724916,11.152914410853025,9.661407249466986,0
75,2.4841101694915255,239.06964111328125,259.1376647949219,6.0,0.14285714285714285,239.02110900878907,259.11492919921875,0,4.069609287806919,-14.040999639601935,5.2,2.8797765298983355,-10.552027162894042,10.937933539229748,12.076759061833704,0
76,2.517231638418079,240.08013916015625,256.7606506347656,6.0,0.14285714285714285,239.82972717285156,256.76044006347655,0,4.185126168387278,-14.377355230422253,6.0,2.791128897921131,-10.242918761779443,10.616392291415373,12.076759061833704,0
77,2.550353107344633,240.9648895263672,254.44552612304688,8.0,0.14285714285714285,240.39508972167968,254.42177124023436,0,4.265892246791289,-14.711450776599705,6.4,2.4088363140848816,-9.921408537470482,10.209644448042557,7.246055437100205,0
78,2.5834745762711866,240.99180603027344,252.0209503173828,6.0,0.14285714285714285,240.7310363769531,252.1915069580078,0,4.313884626116071,-15.030059959774931,6.4,1.8962153369393486,-9.417108970453866,9.60612169220475,-2.415351812366776,0
79,2.61659604519774,240.8689727783203,249.7440643310547,6.0,0.14285714285714285,240.9659423828125,250.04112243652344,0,4.347442626953125,-15.337257748558407,5.6,1.5265930938023409,-8.62556148625493,8.759611716692092,-9.661407249466986,0
80,2.6497175141242937,240.74937438964844,247.98634338378906,6.0,0.14285714285714285,241.21929931640625,248.19813232421876,0,4.383636474609375,-15.600542050316221,4.800000000000001,1.4245932972652902,-7.587609703396299,7.7201869843732975,-16.9074626865672,0
81,2.6828389830508477,241.25466918945312,246.00872802734375,2.0,0.14285714285714285,241.59943237304688,246.76124572753906,0,4.437941196986607,-15.805811564127609,4.4,1.5556666950245748,-6.501803889116284,6.685323677918394,-24.153518123667443,0
82,2.715960451977401,242.23167419433594,245.23057556152344,4.0,0.14285714285714285,242.0465515136719,245.62582397460938,0,4.501815359933033,-15.96801467168899,3.6,1.7363236928400028,-5.286369933059553,5.564218456843117,-24.153518123667375,0
83,2.7490819209039548,242.89247131347656,244.83651733398438,4.0,0.14285714285714285,242.5344451904297,244.65428161621094,0,4.571514456612725,-16.106806437174484,2.4,1.753590421418086,-4.392475159081823,4.72957898646805,-28.984221748400877,0
84,2.7822033898305087,243.1045684814453,244.06695556640625,2.0,0.14285714285714285,242.97877807617186,243.912890625,0,4.634990583147321,-16.212719435918906,1.6,1.6059926670061582,-3.8441334562043066,4.166122234835029,-33.81492537313439,0
85,2.8153248587570623,243.1888427734375,243.12863159179688,0.0,0.14285714285714285,243.2521514892578,243.10614929199218,0,4.674043927873882,-16.32796819777716,0.0,1.3912339460620895,-3.433396444515296,3.7045570636562974,-33.81492537313433,0
86,2.848446327683616,243.47633361816406,242.30177307128906,-2.0,0.14285714285714285,243.461181640625,242.3049285888672,0,4.703905378069194,-16.44242829822359,-1.2,1.13518934246972,-2.988025939736909,3.19639701223072,-28.984221748400834,0
87,2.88156779661017,243.59854125976562,241.19686889648438,-4.0,0.14285714285714285,243.65934143066406,241.645654296875,0,4.732213919503344,-16.536610339936757,-2.0,0.8678327808501972,-2.56801717655345,2.7106910474253127,-24.153518123667407,0
88,2.9146892655367234,243.9376220703125,240.83041381835938,-2.0,0.14285714285714285,243.8504150390625,241.1904083251953,0,4.759510149274554,-16.601645478748146,-2.4,0.0,0.0,0.0,-12.076759061833672,0
89,2.947810734463277,244.09536743164062,240.7705841064453,-2.0,0.14285714285714285,243.984814453125,240.9359130859375,0,4.778710065569193,-16.63800194149926,-2.4,0.0,0.0,0.0,-7.246055437100144,0
90,2.9809322033898304,244.1442108154297,240.85240173339844,-2.0,0.14285714285714285,244.0923858642578,240.91978759765624,0,4.79407741001674,-16.640305582682295,-2.0,0.0,0.0,0.0,-4.830703624733461,0
91,3.0140536723163844,244.14833068847656,241.029296875,-2.0,0.14285714285714285,244.1254638671875,240.9805450439453,0,4.798802839006697,-16.631625947498144,-2.4,0.0,0.0,0.0,-4.830703624733464,0
92,3.047175141242938,244.1363983154297,241.11624145507812,-2.0,0.14285714285714285,244.12117919921874,241.05700073242187,0,4.7981907435825875,-16.62070370628721,-2.8,0.0,0.0,0.0,-7.2460554371001775,0
