frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
59,1.9666666666666666,450.2599792480469,306.6461486816406,0.0,0.23255813953488372,450.2638854980469,306.6807495117188,0,0.0568809804990309,-0.03006005102349718,0.0,0.0,0.0,0.0,0.0,0
60,2.0,450.18743896484375,306.6123046875,0.0,0.23255813953488372,450.2810485839844,306.6511596679687,0,0.060872395833328596,-0.03694141003514062,0.0,0.0,0.0,0.0,0.0,0
61,2.033333333333333,450.3140869140625,306.6108093261719,0.0,0.23255813953488372,450.3214111328125,306.6206909179688,0,0.0702590350956882,-0.04402716584907296,0.0,0.0,0.0,0.0,0.0,0
62,2.066666666666667,450.4016418457031,306.6087951660156,0.0,0.23255813953488372,450.36090698242185,306.6178466796875,0,0.07944411640018245,-0.044688616612162946,0.0,0.0,0.0,0.0,0.0,0
63,2.1,450.44390869140625,306.6253967285156,0.0,0.23255813953488372,450.41517333984376,306.6227111816406,0,0.09206419952155898,-0.04355733708818832,0.0,0.0,0.0,0.0,0.0,0
64,2.1333333333333333,450.45745849609375,306.6319274902344,0.0,0.23255813953488372,450.41277465820315,306.6470947265625,0,0.09150636658188205,-0.03788674524588487,0.0,0.0,0.0,0.0,0.0,0
65,2.1666666666666665,450.4587707519531,306.6366271972656,0.0,0.23255813953488372,450.3743103027344,306.6828552246094,0,0.08256116763566013,-0.029570350351264096,0.0,0.0,0.0,0.0,0.0,0
66,2.2,450.3020935058594,306.73272705078125,0.0,0.23255813953488372,450.3180358886719,306.7205383300781,0,0.06947409459786513,-0.02080683745155909,0.0,0.0,0.0,0.0,0.0,0
67,2.2333333333333334,450.2093200683594,306.78759765625,0.0,0.23255813953488372,450.2690734863281,306.731884765625,0,0.05808748940164321,-0.018168131510421404,0.0,0.0,0.0,0.0,0.0,0
68,2.2666666666666666,450.16253662109375,306.8138122558594,0.0,0.23255813953488372,450.22723388671875,306.7268981933594,0,0.04835734995759822,-0.019327799479171404,0.0,0.0,0.0,0.0,0.0,0
69,2.3,450.212646484375,306.68865966796875,0.0,0.23255813953488372,450.221484375,306.69451904296875,0,0.047020254209058976,-0.026857834453736018,0.0,0.0,0.0,0.0,0.0,0
70,2.3333333333333335,450.24957275390625,306.6116943359375,0.0,0.23255813953488372,450.236962890625,306.64772338867186,0,0.05061990900557589,-0.03774054475533717,0.0,0.0,0.0,0.0,0.0,0
71,2.3666666666666667,450.2733459472656,306.5708312988281,0.0,0.23255813953488372,450.263037109375,306.5949462890625,0,0.05668368080789321,-0.05001428885054793,0.0,0.0,0.0,0.0,0.0,0
72,2.4,450.2867126464844,306.5536193847656,0.0,0.23255813953488372,450.27947387695315,306.5677490234375,0,0.060506184895828596,-0.0563392343447191,0.0,0.0,0.0,0.0,0.0,0
73,2.433333333333333,450.29290771484375,306.5499267578125,0.0,0.23255813953488372,450.2837341308594,306.55381469726564,0,0.06149694161821628,-0.05957977531492986,0.0,0.0,0.0,0.0,0.0,0
